white_mean_b,white_mean_g,white_mean_r,white_mean_lum,white_r_over_g,white_b_over_g,white_neutrality_err,white_clipped_frac,white_p99,object_mean_b,object_mean_g,object_mean_r,object_mean_lum,object_r_over_g,object_b_over_g,object_neutrality_err,object_clipped_frac,object_p99,frame_mean_lum,frame_sat_frac,noise_white,noise_object,snr_white,snr_object,markers_mean,markers_max,markers_ever,depth_fill_object,depth_rms_object_mm,depth_median_mm,depth_fill_frame,sweep,pwm,exposure_us
32.23161697387695,30.080883026123047,32.40808868408203,31.021900177001953,1.0773649215698242,1.0714982748031616,0.07736492156982422,0.0,36.0,33.358055114746094,37.18033218383789,38.459739685058594,37.12713623046875,1.034410834312439,0.8971962928771973,0.10280370712280273,0.0,43.0,3.7937865257263184,0.0,0.7642682790756226,0.8866310715675354,40.59032806454134,41.874391075455044,1.0,2,1|6,1.0,0.19945284628580226,121.59999692812562,0.392265625,exposure,200,200
52.52206039428711,50.985294342041016,53.452205657958984,51.898094177246094,1.0483847856521606,1.0301413536071777,0.048384785652160645,0.0,57.0,57.50300216674805,61.96357727050781,63.180137634277344,61.81883239746094,1.0196335315704346,0.9280129671096802,0.07198703289031982,0.0,69.0,6.211161136627197,0.0,0.8255863189697266,0.9906507134437561,62.86210537259296,62.40224890422055,0.92,2,1|6,1.0,0.1868665897750873,121.7999969230732,0.4302473958333333,exposure,200,400
70.20587921142578,69.2132339477539,71.88603210449219,70.12556457519531,1.0386168956756592,1.0143418312072754,0.03861689567565918,0.0,76.29000000000002,77.23117065429688,82.53223419189453,83.2532730102539,82.14350891113281,1.008736491203308,0.93576979637146,0.06423020362854004,0.0,89.0,8.463041305541992,0.0,0.9715412259101868,0.8378446698188782,72.17971065458215,98.04145311193572,0.04,1,1,0.9999507825573383,0.15760959310858588,121.69999692559941,0.5071354166666666,exposure,200,600
92.98529052734375,93.89705657958984,95.30882263183594,94.2152328491211,1.0150352716445923,0.9902897477149963,0.015035271644592285,0.0,100.0,104.05315399169922,109.40471649169922,110.95294952392578,109.25755310058594,1.0141514539718628,0.9510847330093384,0.04891526699066162,0.0,118.0,11.993627548217773,0.0,0.8714730739593506,0.9158293008804321,108.11031994491171,119.29903639854199,0.0,0,,1.0,0.14934331756621722,121.69999692559941,0.5289973958333334,exposure,200,1000
110.05514526367188,110.73896789550781,112.42279052734375,111.16448211669922,1.0152053833007812,0.9938248991966248,0.01520538330078125,0.0,118.0,123.2809829711914,128.3980255126953,131.2970733642578,128.68150329589844,1.0225785970687866,0.9601470232009888,0.03985297679901123,0.0,139.0,14.917734146118164,0.0,0.8841061592102051,0.9166833162307739,125.73657694682879,140.37727208237203,0.0,0,,1.0,0.1428031650217175,121.69999692559941,0.5805208333333334,exposure,200,1400
140.1139678955078,140.62132263183594,143.77574157714844,141.50665283203125,1.0224319696426392,0.9963920712471008,0.02243196964263916,0.0,150.0,160.00205993652344,164.42755126953125,169.94723510742188,165.57342529296875,1.033569097518921,0.9730854630470276,0.0335690975189209,0.0,181.0,20.87023162841797,0.0,0.9631511569023132,1.2427457571029663,146.92050341002025,133.23193770457615,0.04,1,1,1.0,0.14088412820287874,121.69999692559941,0.54890625,exposure,200,2200
168.66543579101562,167.8308868408203,171.875,169.13522338867188,1.0240963697433472,1.0049725770950317,0.024096369743347168,0.0,178.0,195.26902770996094,198.93429565429688,209.32325744628906,201.6227569580078,1.0522230863571167,0.9815754890441895,0.0522230863571167,0.0,227.0,26.846952438354492,0.0,0.935843825340271,1.7427711486816406,180.73018040929495,115.69089671385139,0.4,1,1,1.0,0.13738717816858476,121.69999692559941,0.5508463541666667,exposure,200,3000
200.96324157714844,198.69117736816406,205.54779052734375,201.0003204345703,1.0345089435577393,1.0114351511001587,0.03450894355773926,0.0,215.0,240.54075622558594,244.8259735107422,247.39048767089844,245.104248046875,1.0104748010635376,0.9824968576431274,0.01750314235687256,0.289595432621321,255.0,33.96146011352539,0.019391276041666666,1.2403151988983154,1.656968593597412,162.05583920369978,147.92329136108364,0.96,1,1,1.0,0.14124986591917427,121.59999692812562,0.5526692708333333,exposure,200,4000
250.32720947265625,254.77206420898438,253.89706420898438,254.0037078857422,0.996565580368042,0.9825536012649536,0.017446398735046387,0.9742647058823529,255.0,252.46859741210938,254.94911193847656,252.0336151123047,253.79458618164062,0.9885643720626831,0.9902705550193787,0.011435627937316895,0.99970469534403,255.0,42.625858306884766,0.06979166666666667,0.10026717931032181,0.007776971906423569,2533.2687089921387,32634.113795886693,1.0,1,1,1.0,0.17491931397558422,121.69999692559941,0.5649609375,exposure,200,6000
250.8419189453125,254.9375,253.6580810546875,254.0880584716797,0.9949814677238464,0.9839349389076233,0.01606506109237671,0.9926470588235294,255.0,252.2757110595703,254.8607177734375,252.1969757080078,253.76956176757812,0.9895482659339905,0.9898571968078613,0.010451734066009521,0.9998523476720149,255.0,53.05571746826172,0.072783203125,0.12404842674732208,0.002370331669226289,2048.2973072221157,107060.78185691721,0.0,0,,1.0,0.20047937591565057,121.69999692559941,0.5769270833333333,exposure,200,9000
15.378676414489746,19.34191131591797,16.066177368164062,17.910659790039062,0.8306405544281006,0.7950959205627441,0.20490407943725586,0.0,21.0,20.80229377746582,26.33477783203125,24.731124877929688,25.22458267211914,0.9391050338745117,0.7899171113967896,0.21008288860321045,0.0,29.0,2.649418830871582,0.0,0.6700893044471741,0.7295796275138855,26.728765361828028,34.574132446754845,1.44,2,1|6,1.0,0.21679396794464534,121.7999969230732,0.3746875,pwm,21,2200
33.805145263671875,38.0,34.849266052246094,36.57971954345703,0.9170859456062317,0.8896090984344482,0.11039090156555176,0.0,41.0,43.484153747558594,48.936065673828125,48.3256721496582,48.13203811645508,0.9875267148017883,0.8885911107063293,0.11140888929367065,0.0,53.0,4.763290882110596,0.0,1.0601112842559814,0.9128049612045288,34.50554681071035,52.72981651298268,1.44,2,1|6,1.0,0.17648154300266822,121.7999969230732,0.40119791666666665,pwm,35,2200
62.382354736328125,65.20220947265625,65.1507339477539,64.86534881591797,0.99921053647995,0.9567521810531616,0.04324781894683838,0.0,71.0,72.3052978515625,79.27050018310547,78.81779479980469,78.34111022949219,0.9942891001701355,0.9121337532997131,0.08786624670028687,0.0,84.0,7.954907417297363,0.0,0.9719422459602356,0.8818624019622803,66.73786337153592,88.83597946252283,0.24,1,1|6,1.0,0.15868332459704862,121.7999969230732,0.45369791666666665,pwm,60,2200
77.51103210449219,81.10662078857422,80.83455657958984,80.6153793334961,0.9966455698013306,0.9556683897972107,0.04433161020278931,0.0,86.29000000000002,89.17255401611328,96.24638366699219,95.95319366455078,95.352294921875,0.9969537854194641,0.9265028834342957,0.07349711656570435,0.0,102.0,10.064400672912598,0.0,0.8711363673210144,0.8023483157157898,92.54048201593363,118.84152188542883,0.0,0,,1.0,0.16324515501052683,121.69999692559941,0.5356901041666666,pwm,80,2200
95.10662078857422,98.56617736816406,98.24632263183594,98.0761489868164,0.9967549443244934,0.9649012088775635,0.03509879112243652,0.0,104.0,108.74992370605469,115.47711181640625,116.16935729980469,114.91719055175781,1.0059946775436401,0.9417443871498108,0.05825561285018921,0.0,123.0,12.793859481811523,0.0,0.5931364893913269,0.5909974575042725,165.35173731675414,194.4461673947676,0.0,0,,1.0,0.1497385740687092,121.69999692559941,0.5650911458333333,pwm,108,2200
112.625,115.27205657958984,116.00367736816406,115.18904876708984,1.0063469409942627,0.9770364165306091,0.02296358346939087,0.0,121.0,127.64652252197266,133.67625427246094,136.536865234375,133.8441925048828,1.0213994979858398,0.9548930525779724,0.04510694742202759,0.0,144.0,15.691350936889648,0.0,0.8138726353645325,0.9413354992866516,141.53203309937658,142.18542974987193,0.0,0,,1.0,0.13675488130698651,121.69999692559941,0.5754947916666666,pwm,140,2200
