t_sec,sat_frac,p99_9,p99,frame_mean_lum,motion,markers
0.006649494171142578,0.0,191.0,180.0,21.399452209472656,1.3177723524305556,1
0.04074287414550781,0.0,191.0,180.0,21.514190673828125,1.3132107204861112,1
0.06360292434692383,0.0,190.0,179.0,21.37114143371582,1.3159353298611112,1
0.09251737594604492,0.0,189.0,179.0,21.229944229125977,1.3453157552083332,1
0.12582111358642578,0.0,190.0,179.0,21.329723358154297,1.3727256944444444,1
0.1595313549041748,0.0,190.0,180.0,21.3795108795166,1.4675010850694445,1
0.1927957534790039,0.0,190.0,179.0,21.283071517944336,1.5472721354166667,1
0.22605299949645996,0.0,190.0,180.0,21.335647583007812,1.55515625,1
0.2596001625061035,0.0,191.0,181.0,21.490375518798828,1.5909581163194444,1
0.2925138473510742,0.0,191.0,182.0,21.516721725463867,1.5749479166666667,1
0.3257894515991211,0.0,191.0,181.0,21.424985885620117,1.5454969618055556,0
0.35924315452575684,0.0,190.0,181.0,21.32447624206543,1.5051888020833333,1
0.3923056125640869,0.0,191.0,181.0,21.427494049072266,1.4929481336805555,1
0.42557859420776367,0.0,191.0,182.0,21.43331527709961,1.4877582465277779,1
0.4590940475463867,0.0,191.0,182.0,21.405290603637695,1.484220920138889,1
0.4922795295715332,0.0,192.0,183.0,21.479576110839844,1.487470703125,1
0.5257003307342529,0.0,193.0,183.0,21.618371963500977,1.4774348958333334,1
0.5588431358337402,0.0,192.0,183.0,21.539791107177734,1.4508648003472222,1
0.5922353267669678,0.0,191.0,182.0,21.342723846435547,1.474484592013889,1
0.6588797569274902,0.0,193.0,183.0,21.53944969177246,1.6591514756944445,1
0.7250902652740479,0.0,192.0,184.0,21.498435974121094,1.6438096788194445,1
0.7586641311645508,0.0,193.0,185.0,21.5793514251709,1.4975737847222221,1
0.7926926612854004,0.0,193.0,186.0,21.636188507080078,1.509392361111111,0
0.8254818916320801,0.0,193.0,185.0,21.59332847595215,1.519638671875,1
0.8589427471160889,0.0,192.0,184.0,21.422584533691406,1.519914279513889,2
0.8916549682617188,0.0,193.0,185.0,21.5266056060791,1.5234418402777778,1
0.9253697395324707,0.0,193.0,186.0,21.59861183166504,1.5394921875,1
0.9586913585662842,0.0,193.0,186.0,21.526525497436523,1.5401399739583332,0
0.991779088973999,0.0,193.0,186.0,21.567340850830078,1.5166666666666666,1
1.0253746509552002,0.0,195.0,188.0,21.71099853515625,1.5240190972222223,1
1.0586023330688477,0.0,195.0,188.0,21.71160888671875,1.5094921875,1
1.0919785499572754,0.0,193.0,186.0,21.49716567993164,1.5379969618055556,1
1.1249730587005615,0.0,195.0,187.0,21.552642822265625,1.5295985243055557,0
1.158139705657959,0.0,195.0,188.0,21.660850524902344,1.528410373263889,1
1.1914045810699463,0.0,195.0,188.0,21.632001876831055,1.5016015625,1
1.2248389720916748,0.0,195.0,188.0,21.61488914489746,1.4948285590277777,1
1.2584338188171387,0.0,195.0,188.0,21.660429000854492,1.5103776041666668,1
1.2919957637786865,0.0,196.0,189.0,21.746667861938477,1.5459375,0
1.3246757984161377,0.0,197.0,190.0,21.785572052001953,1.5734125434027777,1
1.3581078052520752,0.0,195.0,188.0,21.599781036376953,1.5910004340277777,1
1.391533374786377,0.0,195.0,189.0,21.58308219909668,1.58962890625,1
1.4246268272399902,0.0,197.0,190.0,21.740262985229492,1.6421082899305555,1
1.4582891464233398,0.0,197.0,190.0,21.660308837890625,1.6529459635416666,1
1.4913380146026611,0.0,197.0,190.0,21.676481246948242,1.6335514322916667,1
1.5247950553894043,0.0,197.0,191.0,21.753332138061523,1.6227962239583333,1
