exposure_us,pwm,white_mean_b,white_mean_g,white_mean_r,white_mean_lum,white_r_over_g,white_b_over_g,white_neutrality_err,white_clipped_frac,object_mean_b,object_mean_g,object_mean_r,object_mean_lum,object_r_over_g,object_b_over_g,object_neutrality_err,object_clipped_frac,frame_mean_lum,frame_sat_frac,noise_white,markers,depth_fill,depth_rms_mm
200,128,18.132352828979492,17.75,19.238969802856445,18.23879051208496,1.0838855504989624,1.021540880203247,0.0838855504989624,0.0,19.170045852661133,23.66404151916504,23.526479721069336,23.110593795776367,0.9941868185997009,0.8100917339324951,0.18990826606750488,0.0,2.5071003437042236,0.0,0.7570168972015381,1,0.3191276041666667,19.208685432352986
400,128,31.683822631835938,31.867647171020508,32.422794342041016,32.01268005371094,1.0174202919006348,0.9942315816879272,0.017420291900634766,0.0,36.255043029785156,41.25489807128906,41.833152770996094,40.85781478881836,1.0140166282653809,0.8788057565689087,0.12119424343109131,0.0,4.099918842315674,0.0,0.8349559307098389,1,0.3802994791666667,21.31803028558724
600,128,47.48897171020508,48.24632263183594,48.89706039428711,48.354557037353516,1.0134878158569336,0.9843024015426636,0.015697598457336426,0.0,53.59789276123047,59.493255615234375,59.987056732177734,58.968833923339844,1.0083000659942627,0.900907039642334,0.09909296035766602,0.0,5.889727592468262,0.0,1.1273813247680664,1,0.4471744791666667,23.485116171535132
800,128,57.411766052246094,58.617645263671875,60.22793960571289,58.96165466308594,1.0274711847305298,0.9794280529022217,0.027471184730529785,0.0,65.78630065917969,71.76793670654297,71.94999694824219,71.14047241210938,1.0025367736816406,0.9166530966758728,0.0833469033241272,0.0,7.170482635498047,0.0,0.8574395775794983,1,0.47420572916666665,22.139084851275822
1000,128,68.29044342041016,69.48896789550781,70.5625,69.67332458496094,1.0154489278793335,0.9827523231506348,0.017247676849365234,0.0,76.99571990966797,83.30204772949219,83.34053802490234,82.59464263916016,1.0004620552062988,0.9242956638336182,0.07570433616638184,0.0,8.480531692504883,0.0,0.9347041845321655,0,0.5011328125,22.220881179667153
1200,128,74.93382263183594,77.34558868408203,77.77941131591797,77.20036315917969,1.0056089162826538,0.9688183069229126,0.031181693077087402,0.0,85.32080078125,91.79417419433594,91.9160385131836,91.09263610839844,1.001327633857727,0.9294794797897339,0.07052052021026611,0.0,9.536962509155273,0.0,0.9867885708808899,0,0.5240364583333333,22.124626716131228
1600,128,89.5257339477539,92.13970947265625,92.53308868408203,91.95933532714844,1.0042693614959717,0.9716302752494812,0.0283697247505188,0.0,101.33768463134766,107.8082504272461,108.8481674194336,107.38153076171875,1.009645938873291,0.9399808049201965,0.06001919507980347,0.0,11.694992065429688,0.0,0.9065823554992676,0,0.5839713541666667,22.88203329107067
1800,128,94.29779052734375,98.0367660522461,98.24264526367188,97.67208099365234,1.0020999908447266,0.9618614912033081,0.038138508796691895,0.0,108.03174591064453,114.37311553955078,115.48503875732422,113.98267364501953,1.0097218751907349,0.944555401802063,0.05544459819793701,0.0,12.62032699584961,0.0,0.8112900853157043,0,0.5657682291666667,23.822062717084513
2400,128,110.85662078857422,113.94485473632812,114.37132263183594,113.7203140258789,1.0037428140640259,0.9728971123695374,0.027102887630462646,0.0,125.98489379882812,132.0068359375,134.81155395507812,132.15895080566406,1.0212467908859253,0.9543815851211548,0.045618414878845215,0.0,15.411429405212402,0.0,0.8051755428314209,0,0.5640885416666667,23.15027575105633
2800,128,120.35662078857422,123.69853210449219,124.82353210449219,123.65392303466797,1.0090947151184082,0.9729834198951721,0.02701658010482788,0.0,138.38522338867188,144.2724151611328,147.46372985839844,144.55548095703125,1.0221201181411743,0.9591939449310303,0.04080605506896973,0.0,17.356788635253906,0.0,0.8224939107894897,0,0.5552604166666667,23.671143735933097
