exposure_us,pwm,white_mean_b,white_mean_g,white_mean_r,white_mean_lum,white_r_over_g,white_b_over_g,white_neutrality_err,white_clipped_frac,object_mean_b,object_mean_g,object_mean_r,object_mean_lum,object_r_over_g,object_b_over_g,object_neutrality_err,object_clipped_frac,frame_mean_lum,frame_sat_frac,noise_white,markers,depth_fill,depth_rms_mm
3400,128,134.22793579101562,136.68382263183594,138.46324157714844,136.9359130859375,1.0130184888839722,0.9820323586463928,0.017967641353607178,0.0,153.90191650390625,159.6488800048828,164.5467987060547,160.45822143554688,1.0306793451309204,0.9640024900436401,0.03599750995635986,0.0,19.96551513671875,0.0,0.8461832404136658,0,0.557890625,24.616473389746485
4200,128,151.2169189453125,153.50367736816406,156.3125,154.08282470703125,1.0182980298995972,0.9851028919219971,0.018298029899597168,0.0,175.0706329345703,180.42794799804688,187.78855895996094,182.01803588867188,1.0407953262329102,0.9703077077865601,0.040795326232910156,0.0,23.559619903564453,0.0,0.8684661388397217,0,0.543125,90.76548444877912
5200,128,171.9264678955078,173.1066131591797,176.83824157714844,174.08782958984375,1.0215568542480469,0.9931825399398804,0.021556854248046875,0.0,201.22438049316406,206.04444885253906,217.593017578125,208.94798278808594,1.05604887008667,0.9766066670417786,0.05604887008666992,0.0,27.953262329101562,0.0,1.0081367492675781,1,0.5506510416666667,32.841659542229486
6400,128,195.30514526367188,195.22425842285156,201.4375,197.0912322998047,1.031826138496399,1.0004143714904785,0.031826138496398926,0.0,234.49502563476562,240.1439666748047,246.16123962402344,241.2991485595703,1.0250569581985474,0.9764768481254578,0.025056958198547363,0.2427404272074023,33.1817626953125,0.016223958333333333,1.0533818006515503,1,0.5564192708333333,28.59904304325121
7800,128,225.6764678955078,223.9816131591797,233.67279052734375,227.07249450683594,1.0432677268981934,1.0075669288635254,0.04326772689819336,0.0,251.5425262451172,254.63096618652344,252.21990966796875,253.5579833984375,0.9905311465263367,0.9878709316253662,0.012129068374633789,0.978049020572891,37.63763427734375,0.065166015625,1.3678560256958008,1,0.5496744791666667,112.27783096138317
9600,128,250.25367736816406,254.5514678955078,253.94117736816406,253.87904357910156,0.9976024627685547,0.9831162095069885,0.016883790493011475,0.9669117647058824,252.49807739257812,254.84300231933594,252.16812133789062,253.77586364746094,0.989503800868988,0.9907985329627991,0.010496199131011963,0.9995078255733832,42.0611686706543,0.06934895833333334,0.11303545534610748,1,0.551796875,89.4590573827958
11800,128,250.19117736816406,254.9264678955078,253.9669189453125,254.0997314453125,0.9962359666824341,0.981424868106842,0.01857513189315796,0.9963235294117647,252.77232360839844,254.82159423828125,252.12835693359375,253.78268432617188,0.9894309043884277,0.9919580221176147,0.010569095611572266,0.99970469534403,46.924015045166016,0.07173177083333333,0.034647200256586075,1,0.571171875,116.09809526536255
14600,128,250.73529052734375,254.94485473632812,253.9191131591797,254.15826416015625,0.9959766268730164,0.9834883213043213,0.01651167869567871,0.9889705882352942,252.24505615234375,254.8975830078125,252.1232452392578,253.7656707763672,0.9891158938407898,0.9895937442779541,0.010884106159210205,0.9998523476720149,52.79423141479492,0.07278645833333333,0.03255704417824745,1,0.5574479166666667,124.4412555659665
17800,128,251.0,254.9558868408203,253.3860321044922,254.03550720214844,0.9938426613807678,0.9844840168952942,0.01551598310470581,1.0,252.3088836669922,254.75244140625,252.21754455566406,253.7159423828125,0.9900495409965515,0.9904081225395203,0.009950459003448486,0.9999015651146766,58.85842514038086,0.07338216145833333,0.02930731140077114,0,0.43009114583333335,108.85018282355914
22000,128,251.37132263183594,254.94485473632812,253.1691131591797,254.0065155029297,0.9930347800254822,0.98598313331604,0.014016866683959961,1.0,252.40052795410156,254.67442321777344,252.4220428466797,253.74172973632812,0.9911558628082275,0.991071343421936,0.008928656578063965,0.9998523476720149,66.18730163574219,0.07402018229166667,0.038658495992422104,0,0.5353255208333333,257.71542460157235
27000,128,251.1580810546875,254.9705810546875,253.46324157714844,254.0852508544922,0.9940881729125977,0.9850472807884216,0.01495271921157837,1.0,252.57244873046875,254.5493621826172,253.0586700439453,253.87826538085938,0.9941437840461731,0.9922336935997009,0.007766306400299072,0.9999015651146766,73.97936248779297,0.07463216145833333,0.027191737666726112,0,0.558125,120.31441736157466
33000,128,251.30514526367188,254.93382263183594,253.4044189453125,254.06285095214844,0.9940007925033569,0.9857661724090576,0.014233827590942383,1.0,253.22645568847656,254.19972229003906,253.78924560546875,253.96603393554688,0.9983851909637451,0.996171236038208,0.003828763961791992,1.0,82.50570678710938,0.07541015625,0.023547353222966194,0,0.5784635416666667,144.2648170965146
