exposure_us,pwm,white_mean_b,white_mean_g,white_mean_r,white_mean_lum,white_r_over_g,white_b_over_g,white_neutrality_err,white_clipped_frac,object_mean_b,object_mean_g,object_mean_r,object_mean_lum,object_r_over_g,object_b_over_g,object_neutrality_err,object_clipped_frac,frame_mean_lum,frame_sat_frac,noise_white,markers,depth_fill,depth_rms_mm,illuminance_rel
2000,0,0.7242646813392639,0.7426470518112183,0.7279411554336548,0.7361543774604797,0.9801966547966003,0.9752461910247803,0.024753808975219727,0.0,0.3866029977798462,0.38906389474868774,0.38783344626426697,0.38841545581817627,0.9968348145484924,0.993672251701355,0.0063277482986450195,0.0,0.4934953451156616,0.0,0.15907157957553864,0,0.0023697916666666667,nan,nan
2000,5,1.7867647409439087,1.8125,1.779411792755127,1.7996727228164673,0.9817439317703247,0.9858007431030273,0.018256068229675293,0.0,1.9440398216247559,2.1257505416870117,1.9002854824066162,2.037621259689331,0.8939358592033386,0.9145188331604004,0.10606414079666138,0.0,0.6153441071510315,0.0,0.16502545773983002,0,0.137265625,16.601692591855,nan
2000,10,4.444852828979492,4.772058963775635,4.5625,4.672099590301514,0.9560860395431519,0.9314327239990234,0.06856727600097656,0.0,5.8018012046813965,8.191947937011719,6.833103656768799,7.513176441192627,0.8341243267059326,0.7082321047782898,0.2917678952217102,0.0,1.096268653869629,0.0,0.395741730928421,0,0.28653645833333335,15.998598371154804,nan
2000,15,7.625,11.172794342041016,8.077205657958984,9.842764854431152,0.7229350805282593,0.6824612617492676,0.3175387382507324,0.0,10.210994720458984,15.896151542663574,12.209174156188965,14.145637512207031,0.7680584192276001,0.6423563361167908,0.35764366388320923,0.0,1.6860390901565552,0.0,0.6009695529937744,0,0.3138020833333333,17.144614999561462,nan
2000,20,13.525734901428223,17.191177368164062,12.941176414489746,15.502565383911133,0.752780020236969,0.7867833971977234,0.247219979763031,0.0,17.595285415649414,23.116743087768555,21.337434768676758,21.955284118652344,0.923029363155365,0.7611489295959473,0.23885107040405273,0.0,2.359839677810669,0.0,0.7284187078475952,0,0.3067317708333333,19.777902437977318,nan
2000,25,18.863969802856445,22.97058868408203,20.96691131591797,21.903335571289062,0.912771999835968,0.8212226629257202,0.17877733707427979,0.0,25.23919677734375,30.73324203491211,29.331085205078125,29.687679290771484,0.9543764591217041,0.821234405040741,0.17876559495925903,0.0,3.0426981449127197,0.0,0.9464173913002014,2,0.34087239583333334,19.351327757607987,0.12025110297263784
2000,30,24.330883026123047,29.231616973876953,26.426469802856445,27.834196090698242,0.9040371775627136,0.832348108291626,0.16765189170837402,0.0,32.11511993408203,38.20125198364258,36.70981216430664,37.061492919921875,0.9609583616256714,0.8406823873519897,0.15931761264801025,0.0,3.7056751251220703,0.0,0.9736711978912354,1,0.3462109375,19.532418578611075,0.1620722760773829
2000,35,30.268383026123047,34.8125,32.275733947753906,33.535980224609375,0.9271305799484253,0.8694688081741333,0.1305311918258667,0.0,39.97061538696289,45.78703689575195,45.13711929321289,44.92964172363281,0.9858056306838989,0.8729679584503174,0.12703204154968262,0.0,4.440094470977783,0.0,1.015986442565918,2,0.39080729166666667,22.362781772920428,0.20770371161207982
2000,40,36.29043960571289,40.66543960571289,37.97058868408203,39.360931396484375,0.933731198310852,0.8924148082733154,0.10758519172668457,0.0,46.30549240112305,51.918888092041016,51.27207565307617,51.08556365966797,0.9875418543815613,0.8918814063072205,0.10811859369277954,0.0,5.058133125305176,0.0,0.981143593788147,1,0.4112369791666667,21.83492634159691,0.23999975139971
2000,45,42.33456039428711,46.6875,45.088233947753906,45.71308517456055,0.9657453298568726,0.9067643284797668,0.09323567152023315,0.0,51.628360748291016,58.39546203613281,57.87931823730469,57.469688415527344,0.9911612272262573,0.884115993976593,0.11588400602340698,0.0,5.697866916656494,0.0,1.011662483215332,2,0.42657552083333333,64.85434198244158,0.2809688523354791
