white_mean_b,white_mean_g,white_mean_r,white_mean_lum,white_r_over_g,white_b_over_g,white_neutrality_err,white_clipped_frac,white_p99,object_mean_b,object_mean_g,object_mean_r,object_mean_lum,object_r_over_g,object_b_over_g,object_neutrality_err,object_clipped_frac,object_p99,frame_mean_lum,frame_sat_frac,noise_white,noise_object,snr_white,snr_object,markers_mean,markers_max,markers_ever,depth_fill_object,depth_rms_object_mm,depth_median_mm,depth_fill_frame,exposure_us,pwm
251.40072631835938,254.87725830078125,253.08303833007812,253.94444274902344,0.9929604530334473,0.9863599538803101,0.013640046119689941,1.0,255.0,252.2856903076172,254.75332641601562,252.2319793701172,253.7181396484375,0.9901027679443359,0.9903136491775513,0.009897232055664062,0.9997542635277928,255.0,62.30677795410156,0.07366536458333334,0.09742718935012817,0.0029000653885304928,2606.5048621736655,87487.04103427142,0.0,0,,0.39602889860913154,1.8695286743744408,127.89999676897423,0.45493489583333335,12000,200
250.8447723388672,254.93141174316406,253.8086700439453,254.12979125976562,0.9955959320068359,0.9839696288108826,0.01603037118911743,0.9927797833935018,255.0,252.27635192871094,254.8018798828125,252.18661499023438,253.73202514648438,0.9897360801696777,0.9900882840156555,0.010263919830322266,0.9997051162333513,255.0,55.69136047363281,0.073115234375,0.04157249629497528,0.004522695206105709,6112.930757311328,56101.95106757187,0.0,0,,0.8014449304565784,10.286884563675368,123.49999688012758,0.4963020833333333,9800,200
250.65342712402344,254.9205780029297,253.8555908203125,254.11569213867188,0.9958222508430481,0.9832608699798584,0.0167391300201416,0.9891696750902527,255.0,252.8308868408203,254.82139587402344,252.22662353515625,253.8186492919922,0.9898172616958618,0.9921886324882507,0.010182738304138184,0.9997051162333513,255.0,50.48931884765625,0.07248697916666667,0.04653950035572052,0.0024184135254472494,5460.215305200126,104952.54290518914,0.6666666666666666,1,1,1.0,0.1880553615361677,121.59999692812562,0.5685807291666667,8200,200
250.20216369628906,254.91336059570312,253.949462890625,254.0880584716797,0.996218740940094,0.9815184473991394,0.018481552600860596,0.9855595667870036,255.0,252.7077178955078,254.8762969970703,252.1316680908203,253.8084259033203,0.989231526851654,0.9914916157722473,0.010768473148345947,0.9995576743500271,255.0,45.53141784667969,0.07137044270833333,0.03607366234064102,0.007490051910281181,7043.589200130119,33886.070342841216,1.0,1,1,1.0,0.17059883250993793,121.69999692559941,0.5813541666666666,6800,200
251.27798461914062,252.0902557373047,253.45848083496094,252.40675354003906,1.0054274797439575,0.9967778325080872,0.0054274797439575195,0.7509025270758123,255.0,252.43603515625,254.759033203125,252.19068908691406,253.7262725830078,0.9899185299873352,0.9908815622329712,0.010081470012664795,0.9993119378778198,255.0,41.10997772216797,0.06841145833333333,0.5618055462837219,0.013754196465015411,449.27778874680087,18447.189788831005,0.6666666666666666,1,1,1.0,0.16387630483315183,121.69999692559941,0.5479557291666667,5600,200
224.37184143066406,217.9350128173828,227.3646240234375,221.48826599121094,1.0432679653167725,1.0295355319976807,0.04326796531677246,0.0,239.0,250.81185913085938,254.54013061523438,251.81455993652344,253.3001708984375,0.9892922043800354,0.9853529334068298,0.014647066593170166,0.9450533248144689,255.0,37.057861328125,0.06291666666666666,1.325697422027588,0.1720794290304184,167.073015539591,1471.995649483831,1.0,1,1,1.0,0.14155021161717277,121.69999692559941,0.5488802083333333,4600,200
195.25270080566406,191.830322265625,197.79061889648438,194.00259399414062,1.0310707092285156,1.0178406238555908,0.031070709228515625,0.0,206.0,232.856201171875,234.18882751464844,244.30117797851562,237.0605010986328,1.0431803464889526,0.9943096041679382,0.04318034648895264,0.1768319654003047,255.0,32.55356216430664,0.01177734375,1.1956872940063477,2.0185353755950928,162.25194912300432,117.44183627633676,1.0,1,1,1.0,0.13757224301088106,121.69999692559941,0.5571223958333333,3800,200
169.57040405273438,167.57040405273438,171.75811767578125,169.05052185058594,1.0249907970428467,1.0119352340698242,0.02499079704284668,0.0,178.0,196.52601623535156,198.571044921875,208.73971557617188,201.3783416748047,1.0512092113494873,0.9897012710571289,0.051209211349487305,0.0,227.0,26.843496322631836,0.0,0.8952729105949402,1.722019076347351,188.82568639125466,116.94315379011769,0.3333333333333333,1,1,1.0,0.13776572950858945,121.69999692559941,0.5414453125,3000,200
156.26353454589844,154.7256317138672,158.2454833984375,155.95338439941406,1.0227489471435547,1.0099395513534546,0.022748947143554688,0.0,164.0,179.2265167236328,181.8633270263672,189.4215850830078,183.82264709472656,1.0415600538253784,0.9855011701583862,0.04156005382537842,0.0,203.0,23.956039428710938,0.0,0.9712289571762085,1.3905640840530396,160.57324408123026,132.1928627402368,0.0,0,,1.0,0.14017069979331423,121.69999692559941,0.53921875,2600,200
135.389892578125,134.6389923095703,136.87725830078125,135.3938446044922,1.0166242122650146,1.0055770874023438,0.01662421226501465,0.0,143.0,153.46807861328125,157.04620361328125,161.89285278320312,158.0874481201172,1.030861258506775,0.9772161245346069,0.030861258506774902,0.0,172.0,19.66363525390625,0.0,0.9421182870864868,1.102917194366455,143.71215001377314,143.33573628882158,0.0,0,,1.0,0.13667050665788566,121.59999692812562,0.5348567708333334,2000,200
127.75450897216797,127.49097442626953,129.43321228027344,128.10174560546875,1.015234351158142,1.0020670890808105,0.01523435115814209,0.0,134.24,144.07156372070312,148.2809295654297,152.18223571777344,148.96754455566406,1.0263102054595947,0.9716122150421143,0.028387784957885742,0.0,161.0,18.24534034729004,0.0,0.8999035358428955,0.9743065237998962,142.3505303659932,152.89597361482834,0.0,0,,1.0,0.1372179325257247,121.69999692559941,0.5536067708333333,1800,200
111.55595397949219,111.7725601196289,113.18050384521484,112.1688461303711,1.0125964879989624,0.9980620741844177,0.012596487998962402,0.0,119.0,124.47264862060547,128.96014404296875,131.72674560546875,129.27577209472656,1.0214531421661377,0.9652024507522583,0.0347975492477417,0.0,140.0,15.101265907287598,0.0,0.776128888130188,0.9110523462295532,144.52347779581152,141.89719463403216,0.0,0,,1.0,0.14614326933307067,121.59999692812562,0.5749739583333333,1400,200
102.89891815185547,102.71841430664062,103.75450897216797,103.04878234863281,1.0100867748260498,1.001757264137268,0.010086774826049805,0.0,110.0,114.98628997802734,119.59876251220703,121.08900451660156,119.5185317993164,1.0124603509902954,0.9614337682723999,0.0385662317276001,0.0,128.0,13.516436576843262,0.0,0.7823026180267334,0.8255547285079956,131.72496163768605,144.7736021272863,0.0,0,,1.0,0.1459894091808035,121.7999969230732,0.5650130208333334,1200,200
93.92418670654297,94.09386444091797,95.14079284667969,94.3875503540039,1.0111263990402222,0.9981967210769653,0.011126399040222168,0.0,101.24000000000001,104.8866195678711,109.62451171875,111.03096008300781,109.50492858886719,1.0128296613693237,0.956780731678009,0.04321926832199097,0.0,118.0,12.050009727478027,0.0,0.7841675877571106,0.841312050819397,120.36655407292818,130.1597052867776,0.0,0,,1.0,0.14991799387226565,121.69999692559941,0.5525130208333333,1000,200
82.34657287597656,81.610107421875,83.12635040283203,82.14742279052734,1.018579125404358,1.0090241432189941,0.01857912540435791,0.0,89.0,91.22273254394531,96.12537384033203,96.70958709716797,95.74114990234375,1.0060776472091675,0.948997437953949,0.051002562046051025,0.0,103.0,10.191277503967285,0.0,0.8282347321510315,0.7906458973884583,99.183745382399,121.0923249188814,0.0,0,,1.0,0.15654646135556227,121.59999692812562,0.540625,800,200
