pwm,white_balance_k,n_px,mean_b,mean_g,mean_r,mean_lum,r_over_g,b_over_g,neutrality_err,clipped_frac
255,2800,272,246.01470947265625,224.66175842285156,77.125,182.98251342773438,0.34329384565353394,1.0950448513031006,0.6567061543464661,0.029411764705882353
255,2900,272,245.54779052734375,223.55514526367188,84.52205657958984,184.4914093017578,0.37808147072792053,1.0983768701553345,0.6219185292720795,0.029411764705882353
255,3000,272,247.24264526367188,221.1360321044922,93.87132263183594,186.06004333496094,0.4244958162307739,1.1180567741394043,0.5755041837692261,0.04044117647058824
255,3100,272,248.78675842285156,218.52574157714844,102.81617736816406,187.37832641601562,0.4704991579055786,1.1384780406951904,0.5295008420944214,0.058823529411764705
255,3200,272,250.24264526367188,215.92279052734375,111.10294342041016,188.49412536621094,0.5145494341850281,1.158945083618164,0.4854505658149719,0.09191176470588236
255,3300,272,251.125,214.4080810546875,118.1617660522461,189.81617736816406,0.551106870174408,1.1712478399276733,0.44889312982559204,0.16911764705882354
255,3400,272,251.7316131591797,212.81617736816406,125.1507339477539,191.04058837890625,0.5880696177482605,1.1828594207763672,0.4119303822517395,0.22058823529411764
255,3500,272,251.9264678955078,211.5919189453125,131.06617736816406,192.11285400390625,0.6194290518760681,1.1906242370605469,0.3805709481239319,0.2867647058823529
255,3600,272,251.5294189453125,211.0919189453125,137.24632263183594,193.6219482421875,0.6501732468605042,1.1915634870529175,0.34982675313949585,0.2757352941176471
255,3700,272,250.98529052734375,210.1360321044922,142.9375,194.7004852294922,0.6802141666412354,1.1943943500518799,0.31978583335876465,0.1875
255,3800,272,250.77574157714844,207.27574157714844,157.72793579101562,197.41995239257812,0.7609570622444153,1.2098653316497803,0.23904293775558472,0.14338235294117646
255,3900,272,250.8455810546875,203.5294189453125,172.0330810546875,199.5060577392578,0.8452492356300354,1.2324782609939575,0.23247826099395752,0.15073529411764705
255,4000,272,251.04043579101562,200.6875,185.97425842285156,202.0284881591797,0.9266858100891113,1.2509021759033203,0.2509021759033203,0.16911764705882354
255,4100,272,249.5919189453125,201.375,187.7389678955078,202.7945556640625,0.9322853684425354,1.2394384145736694,0.23943841457366943,0.10294117647058823
255,4200,272,247.67279052734375,201.19117736816406,190.1360321044922,203.18460083007812,0.9450515508651733,1.2310320138931274,0.23103201389312744,0.051470588235294115
255,4300,272,244.0625,201.18382263183594,192.48529052734375,203.47113037109375,0.9567632675170898,1.2131317853927612,0.21313178539276123,0.007352941176470588
255,4400,272,238.97793579101562,201.75,194.2058868408203,203.73828125,0.9626066088676453,1.1845251321792603,0.18452513217926025,0.0
255,4500,272,232.4375,201.8308868408203,196.4044189453125,203.69752502441406,0.9731137752532959,1.1516448259353638,0.15164482593536377,0.0
255,4600,272,225.8419189453125,201.9705810546875,198.7830810546875,203.73886108398438,0.9842180013656616,1.118192195892334,0.11819219589233398,0.0
255,4700,272,223.33456420898438,201.79043579101562,200.3566131591797,203.8177490234375,0.9928944706916809,1.1067649126052856,0.10676491260528564,0.0
255,4800,272,221.6580810546875,201.37132263183594,202.77574157714844,204.10394287109375,1.006974220275879,1.100743055343628,0.10074305534362793,0.0
255,4900,272,219.27574157714844,201.3639678955078,204.81985473632812,204.43922424316406,1.0171624422073364,1.0889521837234497,0.08895218372344971,0.0
255,5000,272,217.25735473632812,201.2169189453125,207.55514526367188,204.94064331054688,1.0314995050430298,1.0797171592712402,0.07971715927124023,0.0
255,5100,272,212.27206420898438,201.29779052734375,208.7389678955078,204.77377319335938,1.0369659662246704,1.0545176267623901,0.05451762676239014,0.0
255,5200,272,206.92279052734375,201.16175842285156,210.80882263183594,204.70298767089844,1.0479567050933838,1.0286388397216797,0.04795670509338379,0.0
255,5300,272,201.97793579101562,201.66175842285156,212.2169189453125,204.8538055419922,1.0523408651351929,1.0015678405761719,0.05234086513519287,0.0
255,5400,272,197.12132263183594,202.24632263183594,214.12132263183594,205.2126922607422,1.058715581893921,0.9746596217155457,0.0587155818939209,0.0
255,5500,272,192.67279052734375,202.01470947265625,216.0330810546875,205.1412353515625,1.0693928003311157,0.9537562727928162,0.06939280033111572,0.0
255,5600,272,187.8860321044922,202.6691131591797,217.73529052734375,205.48863220214844,1.0743387937545776,0.9270580410957336,0.07433879375457764,0.0
255,5700,272,183.9044189453125,202.22793579101562,219.27574157714844,205.23635864257812,1.084299921989441,0.9093917608261108,0.09060823917388916,0.0
255,5800,272,178.81985473632812,202.74264526367188,221.8308868408203,205.7228240966797,1.0941500663757324,0.8820041418075562,0.11799585819244385,0.0
255,5900,272,174.63970947265625,202.94117736816406,223.86764526367188,205.97181701660156,1.1031159162521362,0.8605434894561768,0.13945651054382324,0.0
255,6000,272,170.06617736816406,203.01470947265625,225.72793579101562,206.04983520507812,1.1118797063827515,0.8377037048339844,0.16229629516601562,0.0
255,6100,272,165.08824157714844,203.31985473632812,227.22425842285156,206.10887145996094,1.117570400238037,0.8119632005691528,0.18803679943084717,0.0
255,6200,272,160.875,203.61029052734375,229.1066131591797,206.36187744140625,1.1252211332321167,0.790112316608429,0.20988768339157104,0.0
255,6300,272,157.0919189453125,205.60293579101562,233.3860321044922,208.37982177734375,1.1351298093795776,0.7640548348426819,0.23594516515731812,0.0
255,6400,272,151.4485321044922,205.91175842285156,235.6764678955078,208.60260009765625,1.1445508003234863,0.7355021238327026,0.26449787616729736,0.0
255,6500,272,146.5441131591797,204.08824157714844,235.6139678955078,206.95440673828125,1.1544710397720337,0.7180429100990295,0.28195708990097046,0.0
128,2800,272,199.3308868408203,161.96324157714844,49.150733947753906,132.49221801757812,0.3034684360027313,1.2307168245315552,0.6965315639972687,0.0
128,2900,272,199.58824157714844,159.7058868408203,61.047794342041016,134.7537078857422,0.3822513818740845,1.2497237920761108,0.6177486181259155,0.0
128,3000,272,198.22425842285156,158.4044189453125,69.89705657958984,136.48016357421875,0.4412569999694824,1.2513809204101562,0.5587430000305176,0.0
128,3100,272,195.8455810546875,157.62132263183594,77.23896789550781,137.94456481933594,0.4900286793708801,1.2425068616867065,0.5099713206291199,0.0
128,3200,272,193.00367736816406,157.22793579101562,83.04044342041016,139.1243133544922,0.5281532406806946,1.2275406122207642,0.4718467593193054,0.0
128,3300,272,190.2794189453125,156.73529052734375,88.44117736816406,140.13937377929688,0.5642709732055664,1.2140177488327026,0.4357290267944336,0.0
128,3400,272,186.47793579101562,156.70956420898438,93.58455657958984,141.22877502441406,0.5971847176551819,1.1899588108062744,0.4028152823448181,0.0
128,3500,272,182.95220947265625,156.07720947265625,98.01103210449219,141.7791748046875,0.6279650330543518,1.1721904277801514,0.3720349669456482,0.0
128,3600,272,180.5808868408203,155.79779052734375,102.61396789550781,142.72109985351562,0.6586355566978455,1.1590721607208252,0.34136444330215454,0.0
128,3700,272,178.62867736816406,155.1985321044922,106.84558868408203,143.41204833984375,0.6884445548057556,1.1509689092636108,0.3115554451942444,0.0
128,3800,272,179.7205810546875,152.52206420898438,117.8382339477539,145.25222778320312,0.7725979685783386,1.1783251762390137,0.22740203142166138,0.0
128,3900,272,179.0735321044922,150.8419189453125,127.51103210449219,147.08438110351562,0.8453288674354553,1.1871602535247803,0.18716025352478027,0.0
128,4000,272,178.69485473632812,149.01470947265625,136.63970947265625,148.6981201171875,0.916954517364502,1.1991759538650513,0.19917595386505127,0.0
128,4100,272,175.05882263183594,149.0330810546875,138.54043579101562,148.86273193359375,0.9295951724052429,1.1746306419372559,0.17463064193725586,0.0
128,4200,272,171.92279052734375,149.4669189453125,140.2794189453125,149.27981567382812,0.9385315775871277,1.1502397060394287,0.1502397060394287,0.0
128,4300,272,168.52206420898438,150.16175842285156,141.54043579101562,149.67706298828125,0.9425864219665527,1.1222702264785767,0.12227022647857666,0.0
128,4400,272,165.4485321044922,149.94117736816406,142.67279052734375,149.5357666015625,0.951525092124939,1.1034228801727295,0.10342288017272949,0.0
