t_sec,sat_frac,p99_9,p99,frame_mean_lum,motion,markers
0.006196737289428711,0.0,187.0,183.0,20.624927520751953,1.3344509548611112,1
0.039587974548339844,0.0,187.0,183.0,20.558013916015625,1.2941720920138888,0
0.06099438667297363,0.0,185.0,181.0,20.33070182800293,1.3250813802083334,1
0.09319067001342773,0.0,186.0,182.0,20.433732986450195,1.5064583333333332,0
0.1266636848449707,0.0,187.0,183.0,20.513774871826172,1.7076171875,0
0.1597609519958496,0.0,188.0,183.0,20.467824935913086,1.704670138888889,1
0.19286656379699707,0.0,189.0,184.0,20.46454429626465,1.6231130642361111,0
0.22654223442077637,0.0,190.0,185.0,20.555490493774414,1.5903396267361112,1
0.25980591773986816,0.0,191.0,186.0,20.627439498901367,1.58748046875,1
0.2931356430053711,0.0,192.0,186.0,20.593259811401367,1.5927506510416667,0
0.3262012004852295,0.0,191.0,186.0,20.475303649902344,1.6506749131944445,0
0.35953259468078613,0.0,193.0,187.0,20.520605087280273,1.6701302083333334,0
0.3927285671234131,0.0,193.0,188.0,20.62172508239746,1.695710720486111,0
0.426175594329834,0.0,193.0,188.0,20.582441329956055,1.673166232638889,0
0.4595530033111572,0.0,193.0,189.0,20.61442756652832,1.6339192708333334,0
0.4927101135253906,0.0,195.0,190.0,20.7711124420166,1.655920138888889,1
0.5593774318695068,0.0,194.0,189.0,20.610095977783203,1.9607356770833333,0
0.5929644107818604,0.0,194.0,189.0,20.643104553222656,1.6116981336805556,0
0.6258976459503174,0.0,195.0,190.0,20.77251625061035,1.574802517361111,1
0.6593594551086426,0.0,195.0,190.0,20.760761260986328,1.6126161024305556,1
0.6925015449523926,0.0,195.0,190.0,20.731767654418945,1.6991612413194443,1
0.7259926795959473,0.0,195.0,190.0,20.786649703979492,1.6934928385416668,1
0.7592320442199707,0.0,196.0,191.0,20.902891159057617,1.6590180121527778,1
0.7926075458526611,0.0,196.0,191.0,20.89719009399414,1.6221842447916666,1
0.8262772560119629,0.0,195.0,190.0,20.794166564941406,1.667062717013889,0
0.859248161315918,0.0,195.0,190.0,20.74549674987793,1.6847016059027777,0
0.8922216892242432,0.0,196.0,191.0,20.893827438354492,1.6614485677083333,1
0.925847053527832,0.0,196.0,191.0,20.885150909423828,1.5723307291666666,1
0.958775520324707,0.0,196.0,191.0,20.88597297668457,1.5859548611111112,0
0.9923605918884277,0.0,197.0,192.0,20.976041793823242,1.6611990017361111,0
1.025866985321045,0.0,198.0,193.0,21.08705711364746,1.6943543836805555,0
1.0589063167572021,0.0,197.0,192.0,20.979625701904297,1.6230327690972222,1
1.092397928237915,0.0,196.0,191.0,20.83949089050293,1.5997406684027777,0
1.1254258155822754,0.0,198.0,193.0,21.033658981323242,1.670320095486111,0
1.1590371131896973,0.0,198.0,193.0,21.05381202697754,1.6540299479166667,0
1.192255973815918,0.0,198.0,193.0,21.019283294677734,1.6227973090277779,1
1.225466251373291,0.0,199.0,193.0,21.048450469970703,1.6297146267361111,1
1.2588825225830078,0.0,200.0,194.0,21.122373580932617,1.6477788628472223,1
1.2919580936431885,0.0,200.0,194.0,21.14767837524414,1.6473697916666667,0
1.3252406120300293,0.0,200.0,194.0,21.078310012817383,1.629833984375,0
1.358494758605957,0.0,199.0,193.0,20.910585403442383,1.6697612847222223,0
1.3919756412506104,0.0,201.0,195.0,21.01955223083496,1.6762912326388888,0
1.4252398014068604,0.0,202.0,195.0,21.056884765625,1.6955164930555555,1
1.4585916996002197,0.0,202.0,195.0,20.977205276489258,1.6698882378472222,0
1.4919819831848145,0.0,202.0,195.0,20.969602584838867,1.64466796875,0
1.5253520011901855,0.0,204.0,197.0,21.06315803527832,1.643818359375,0
1.5584888458251953,0.0,204.0,197.0,21.017993927001953,1.6998828125,0
1.591740608215332,0.0,203.0,196.0,20.752933502197266,1.7473415798611112,0
1.6255009174346924,0.0,204.0,197.0,20.862489700317383,1.6631618923611111,0
1.658266544342041,0.0,205.0,198.0,20.866771697998047,1.6008083767361112,0
1.6915698051452637,0.0,205.0,198.0,20.8028507232666,1.6763715277777778,0
1.7249436378479004,0.0,206.0,199.0,20.7595272064209,1.7486903211805556,0
1.7584223747253418,0.0,207.0,200.0,20.74562644958496,1.7204665798611112,0
1.79164719581604,0.0,209.0,201.0,20.772499084472656,1.6386338975694446,0
1.8249328136444092,0.0,210.0,201.0,20.728654861450195,1.688039279513889,0
1.8583300113677979,0.0,209.0,200.0,20.481597900390625,1.7425358072916666,0
1.891216516494751,0.0,210.0,201.0,20.498388290405273,1.6740885416666667,0
1.9244284629821777,0.0,212.0,202.0,20.573139190673828,1.656824001736111,0
1.9577362537384033,0.0,212.0,201.0,20.471363067626953,1.6720496961805555,0
1.991353988647461,0.0,213.0,202.0,20.417142868041992,1.6673480902777778,0
2.0244882106781006,0.0,214.0,203.0,20.459501266479492,1.6265440538194444,0
2.0578835010528564,0.0,216.0,203.0,20.44300079345703,1.7229600694444445,0
2.0911922454833984,0.0,214.0,202.0,20.179304122924805,1.7540169270833332,0
2.124661445617676,0.0,216.0,202.0,20.17159652709961,1.6862879774305555,0
2.158051013946533,0.0,216.0,201.0,20.14789390563965,1.6770486111111111,1
2.1911468505859375,0.0,216.0,199.0,20.07469367980957,1.6755110677083334,0
2.2245309352874756,0.0,216.0,197.0,19.971145629882812,1.683191189236111,0
2.290851593017578,0.0,216.0,190.0,19.855833053588867,1.982849392361111,0
2.3244330883026123,0.0,216.0,186.0,19.836130142211914,1.5650173611111111,0
2.357865571975708,0.0,214.0,181.0,19.578275680541992,1.6341395399305556,1
2.3908021450042725,0.0,212.0,175.0,19.4450626373291,1.7208203125,0
2.424466848373413,0.0,210.0,170.0,19.4760684967041,1.7260210503472222,0
2.457383394241333,0.0,207.0,165.0,19.35752296447754,1.6957758246527779,0
2.4914073944091797,0.0,202.0,160.0,19.223459243774414,1.6975672743055557,0
2.524371385574341,0.0,196.0,157.0,19.169639587402344,1.7359819878472222,1
2.5906362533569336,0.0,185.0,154.0,18.925315856933594,2.0370388454861112,0
2.6241343021392822,0.0,179.0,153.0,18.8232421875,1.672947048611111,0
2.657501697540283,0.0,175.0,153.0,18.84016990661621,1.656056857638889,0
2.690505266189575,0.0,169.0,152.0,18.750839233398438,1.6417296006944444,0
2.7243175506591797,0.0,165.0,152.0,18.67365837097168,1.6357790798611112,0
2.7906007766723633,0.0,157.0,150.0,18.57779884338379,1.9805132378472223,0
2.8238258361816406,0.0,156.0,150.0,18.538597106933594,1.6671896701388889,0
2.8572661876678467,0.0,154.0,149.0,18.36130714416504,1.6841764322916666,0
2.8905093669891357,0.0,153.0,147.0,18.22832679748535,1.6371245659722222,1
2.9238312244415283,0.0,154.0,147.0,18.314546585083008,1.6300802951388889,0
2.9571681022644043,0.0,153.0,147.0,18.2819881439209,1.6566818576388889,1
2.990553379058838,0.0,153.0,147.0,18.199886322021484,1.6663140190972223,0
3.0238473415374756,0.0,153.0,146.0,18.172067642211914,1.6147157118055555,0
3.057135581970215,0.0,153.0,147.0,18.221878051757812,1.5796473524305557,0
3.0902395248413086,0.0,152.0,146.0,18.07781982421875,1.6591959635416667,1
3.1567442417144775,0.0,151.0,146.0,17.97519874572754,1.9721560329861112,0
3.1903440952301025,0.0,151.0,145.0,17.91071128845215,1.604939236111111,1
3.2235348224639893,0.0,151.0,145.0,17.842124938964844,1.623674045138889,1
3.257786512374878,0.0,151.0,145.0,17.775409698486328,1.6573589409722222,0
3.290156602859497,0.0,151.0,145.0,17.75602149963379,1.6328754340277778,0
3.3235604763031006,0.0,151.0,144.0,17.699636459350586,1.629509548611111,1
